round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,lr,decay,momentum,batch_size
25,0.053638180030752096,0.7701848,0.045791488237582244,0.8125541,0.001,0.001,0.945,100
25,0.0638382210824493,0.47725657,0.056950938757535874,0.562987,0.1,0.0001,0.99,100
25,0.027244743916213343,0.83916134,0.0210820073611271,0.87496394,0.1,1e-05,0.9,100
25,0.014443656908879063,0.92672354,0.012607765734104324,0.925974,0.01,0.0001,0.9,100
25,0.030421639382892156,0.81847906,0.023583146002987592,0.86255413,0.1,0.0001,0.945,100
25,0.01413486494868729,0.9242715,0.012029223281132194,0.93095237,0.01,1e-05,0.945,100
25,0.03470897655761996,0.85206115,0.028614095209265857,0.8709235,0.001,0.0001,0.945,100
25,0.016501205444452435,0.9186212,0.014510373765008704,0.9164502,0.01,0.001,0.945,100
25,0.033078192953647834,0.7986141,0.025506105384161808,0.85642135,0.1,1e-05,0.945,100
25,0.022268078536822514,0.89246625,0.018962021938607118,0.89906204,0.001,0.001,0.99,100
25,0.029412370833072497,0.8696162,0.023774700720416864,0.8868687,0.001,1e-05,0.945,100
25,0.02414467584013452,0.8603056,0.017947984118858545,0.8924964,0.01,0.0001,0.99,100
25,0.06123102680590022,0.5334044,0.05144847528457985,0.64401156,0.1,1e-05,0.99,100
25,0.012982042232301951,0.9307747,0.011342916770033205,0.9329004,0.01,0.0001,0.945,100
25,0.02001657613434623,0.88713574,0.015373590289417541,0.9077922,0.1,0.001,0.945,100
25,0.013934324356821957,0.92604834,0.012376361759043532,0.92756134,0.01,1e-05,0.9,100
25,0.015889958363005198,0.9122246,0.013191882343519302,0.91875905,0.1,0.001,0.9,100
25,0.01424563166638406,0.92693675,0.012296188004519173,0.92770565,0.001,1e-05,0.99,100
25,0.04566177154951428,0.65799576,0.03656689120351752,0.7528139,0.1,0.001,0.99,100
25,0.04162942733305858,0.82985073,0.03436983723736343,0.8522366,0.001,1e-05,0.9,100
25,0.014354468780346664,0.9245913,0.01296233201619845,0.92395383,0.001,0.0001,0.99,100
25,0.06740734521789422,0.6719616,0.05746595994240106,0.7561328,0.001,0.001,0.9,100
25,0.0457222034655612,0.8130419,0.038179292973845896,0.84415585,0.001,0.0001,0.9,100
25,0.021647736949775984,0.8999289,0.018765751354417846,0.90339106,0.01,0.001,0.9,100
25,0.024092992356638792,0.8598436,0.01924620849358571,0.8916306,0.01,1e-05,0.99,100
25,0.017854360322115178,0.89886284,0.013863481083296207,0.91580087,0.01,0.001,0.99,100
25,0.023893012230330184,0.8605544,0.01782497134554223,0.89285713,0.1,0.0001,0.9,100
